"Semana","Temporada","Clave_producto","Precio_semanal"
"52","2013-2014",10201,54.7934981684982
"52","2013-2014",30201,60
"52","2014-2015",10201,65.2575723327306
"52","2014-2015",10204,159.555555555556
"52","2014-2015",61301,69.7072910832306
"52","2014-2015",70301,100
"52","2014-2015",90301,100
"52","2014-2015",101001,70
"52","2014-2015",120301,102.084148706365
"52","2014-2015",130201,35
"52","2014-2015",200202,77.5
"52","2014-2015",210401,210
"52","2014-2015",230202,106.27280682517
"52","2014-2015",240201,60
"52","2014-2015",260301,40
"52","2014-2015",270201,35
"52","2015-2016",10201,87.4321862188843
"52","2015-2016",10204,183.428571428571
"52","2015-2016",61301,76.016132896079
"52","2015-2016",101001,76.8541666666667
"52","2015-2016",120301,111.587986095339
"52","2015-2016",130201,44.0084985835694
"52","2015-2016",140201,45
"52","2015-2016",210401,300
"52","2015-2016",210402,410
"52","2015-2016",210404,869.959963395104
"52","2015-2016",221201,76.6911350513375
"52","2015-2016",230202,132.860354856029
"52","2015-2016",341001,75
"52","2016-2017",10201,56.3609607147948
"52","2016-2017",101001,60
"52","2016-2017",130201,30
"52","2016-2017",210401,188.015724856753
"52","2016-2017",210402,237.307692307692
"52","2016-2017",210404,532.5
"52","2016-2017",221201,63
"52","2016-2017",230202,106.745190227412
"52","2016-2017",390204,161.666666666667
"52","2017-2018",10201,76.1249407784253
"52","2017-2018",10204,292.383211570953
"52","2017-2018",61301,73.7031298419585
"52","2017-2018",101001,70
"52","2017-2018",120301,105.079122201297
"52","2017-2018",210401,239.230769230769
"52","2017-2018",210402,400
"52","2017-2018",210404,810.281337969863
"52","2017-2018",221201,78.2535262312331
"52","2017-2018",230202,128.844927708433
"52","2017-2018",330202,136.687995366516
"52","2017-2018",450210,420
"52","2017-2018",470201,72.7302072714917
"52","2017-2018",480204,292.812089086128
"52","2017-2018",491001,89.0034689372438
"1","2013-2014",10201,64.3534183081274
"1","2013-2014",30201,62.1817925120326
"1","2013-2014",50201,66
"1","2014-2015",10201,75.6974758862562
"1","2014-2015",10204,159.84375
"1","2014-2015",61301,69.4186046511628
"1","2014-2015",70301,100
"1","2014-2015",80201,70
"1","2014-2015",90301,109.072666666667
"1","2014-2015",120301,105.50635610766
"1","2014-2015",130201,35
"1","2014-2015",200202,92.5
"1","2014-2015",210401,210
"1","2014-2015",230202,114.365322353604
"1","2014-2015",240201,75
"1","2014-2015",260301,40
"1","2014-2015",281301,35
"1","2014-2015",290301,40
"1","2014-2015",300202,35
"1","2015-2016",10201,97.8277782158564
"1","2015-2016",10204,198
"1","2015-2016",61301,80.7996020028199
"1","2015-2016",101001,75
"1","2015-2016",120301,129.4
"1","2015-2016",130201,45
"1","2015-2016",140201,45.0993377483444
"1","2015-2016",210401,380
"1","2015-2016",210402,410
"1","2015-2016",210404,842.138078082494
"1","2015-2016",221201,77.1923436818824
"1","2015-2016",230202,136.351695658241
"1","2015-2016",341001,75
"1","2016-2017",10201,68.8809321912293
"1","2016-2017",10204,165
"1","2016-2017",61301,70
"1","2016-2017",101001,75
"1","2016-2017",130201,30
"1","2016-2017",210401,208.875093492895
"1","2016-2017",210402,305
"1","2016-2017",210404,555
"1","2016-2017",221201,68.6666666666667
"1","2016-2017",230202,122.537745342672
"1","2016-2017",390204,164.704595185996
"1","2017-2018",10201,76.9246043646684
"1","2017-2018",10204,250
